model_name,split,n_rows,accuracy,log_loss,brier_score,null_log_loss,mean_model_a_win_rate,covered_row_share,unknown_pair_rows
baseline,train,78678.0,0.6313073540252675,0.645283513317582,0.2268653535509,0.6930676911707279,0.4936958234830575,1.0,0.0
baseline,validation,9835.0,0.6268429079816981,0.6456451385299314,0.2269747401919454,0.6930689720652911,0.49374682257244534,1.0,0.0
baseline,test,9835.0,0.6273512963904423,0.6465391557829808,0.2273588108874707,0.6930879955022876,0.4945602440264362,1.0,0.0
proxy_augmented,train,78678.0,0.6374844302092072,0.6411957668216104,0.22424020462175193,0.6930676911707279,0.4936958234830575,1.0,0.0
proxy_augmented,validation,9835.0,0.6377224199288256,0.6399491392821272,0.22406305851610148,0.6930689720652911,0.49374682257244534,1.0,0.0
proxy_augmented,test,9835.0,0.6361972547025928,0.6414565659112829,0.22448756115606364,0.6930879955022876,0.4945602440264362,1.0,0.0
formatting_augmented,train,78678.0,0.6388316937390376,0.6396563937757364,0.22358108678004893,0.6930676911707279,0.4936958234830575,1.0,0.0
formatting_augmented,validation,9835.0,0.6401626842907981,0.6382638421131241,0.2232643645295016,0.6930689720652911,0.49374682257244534,1.0,0.0
formatting_augmented,test,9835.0,0.6408744280630402,0.6388162549202503,0.2232159568024868,0.6930879955022876,0.4945602440264362,1.0,0.0
full_formatting,train,78678.0,0.6403441877017718,0.637481762553723,0.22267362608322097,0.6930676911707279,0.4936958234830575,1.0,0.0
full_formatting,validation,9835.0,0.6356888662938485,0.6382257548853256,0.22326849744783647,0.6930689720652911,0.49374682257244534,1.0,0.0
full_formatting,test,9835.0,0.6387391967463142,0.6357132543428072,0.22240708295642314,0.6930879955022876,0.4945602440264362,1.0,0.0
