split,rep,model_name,metric,value
validation,12,full_formatting,accuracy,0.6342312813684319
validation,12,signal_interactions,log_loss,0.6340936593860178
validation,12,signal_interactions,brier_score,0.221454319875458
validation,12,signal_interactions,accuracy,0.6400696507221141
validation,13,baseline,log_loss,0.6472477380301526
validation,13,baseline,brier_score,0.22770375256641925
validation,13,baseline,accuracy,0.6288502592253736
validation,13,full_formatting,log_loss,0.6395199573598751
validation,13,full_formatting,brier_score,0.2236326261710212
validation,13,full_formatting,accuracy,0.6356612788451764
validation,13,signal_interactions,log_loss,0.6399281262382834
validation,13,signal_interactions,brier_score,0.22354380912503735
validation,13,signal_interactions,accuracy,0.6456236657517536
validation,14,baseline,log_loss,0.6417685582810112
validation,14,baseline,brier_score,0.22510481804345073
validation,14,baseline,accuracy,0.6353871098500202
validation,14,full_formatting,log_loss,0.6349456948293403
validation,14,full_formatting,brier_score,0.2217247667442693
validation,14,full_formatting,accuracy,0.6428860964734495
validation,14,signal_interactions,log_loss,0.6343607990068212
validation,14,signal_interactions,brier_score,0.22145359784226312
validation,14,signal_interactions,accuracy,0.6469396027563843
validation,15,baseline,log_loss,0.6424130087252734
validation,15,baseline,brier_score,0.22545280842966217
validation,15,baseline,accuracy,0.6294317130819032
validation,15,full_formatting,log_loss,0.6350309626802603
validation,15,full_formatting,brier_score,0.22178545178653308
validation,15,full_formatting,accuracy,0.640838557188367
validation,15,signal_interactions,log_loss,0.6345671713548944
validation,15,signal_interactions,brier_score,0.22155933455276897
validation,15,signal_interactions,accuracy,0.6471071832288562
validation,16,baseline,log_loss,0.6407638872708878
validation,16,baseline,brier_score,0.22480516330672093
validation,16,baseline,accuracy,0.6318775965143378
validation,16,full_formatting,log_loss,0.6350957249277563
validation,16,full_formatting,brier_score,0.2214312541276281
validation,16,full_formatting,accuracy,0.6404904245617591
validation,16,signal_interactions,log_loss,0.6331570756276149
validation,16,signal_interactions,brier_score,0.22088488838723813
validation,16,signal_interactions,accuracy,0.6506231634410782
validation,17,baseline,log_loss,0.6463600236406387
validation,17,baseline,brier_score,0.22720132804916854
validation,17,baseline,accuracy,0.6336593317033414
validation,17,full_formatting,log_loss,0.6379463050132302
validation,17,full_formatting,brier_score,0.2230818060031201
validation,17,full_formatting,accuracy,0.6416055419722901
validation,17,signal_interactions,log_loss,0.6393049157726418
validation,17,signal_interactions,brier_score,0.2235997760028176
validation,17,signal_interactions,accuracy,0.6475142624286878
validation,18,baseline,log_loss,0.6432394153516766
validation,18,baseline,brier_score,0.22579967017933145
validation,18,baseline,accuracy,0.6289225144714126
validation,18,full_formatting,log_loss,0.6333465290724908
validation,18,full_formatting,brier_score,0.2210792406339018
validation,18,full_formatting,accuracy,0.6362343861074439
validation,18,signal_interactions,log_loss,0.636124892133504
validation,18,signal_interactions,brier_score,0.22218977719263455
validation,18,signal_interactions,accuracy,0.6448664567888697
validation,19,baseline,log_loss,0.6428322108701141
validation,19,baseline,brier_score,0.2257065083249302
validation,19,baseline,accuracy,0.6279810855263158
validation,19,full_formatting,log_loss,0.6355702146960489
validation,19,full_formatting,brier_score,0.22226980902078095
